id,name,discount_policy,sequence,currency_id/id,item_ids/applied_on,item_ids/base,item_ids/compute_price,item_ids/min_quantity,item_ids/percent_price,item_ids/product_id/id
init.product_pricelist_maternal_health_program,Maternal health program,Discount included in the price,87,base.HTG,Product Variant,Sales Price,Percentage (discount),1,100,init.d879219a-a74d-4a4a-a893-ebeb5594c629
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.5690d13c-595b-4e29-bc7f-711afc8e7a16
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.c933dc30-36f6-471f-bca6-53d8a682dce1
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.e5574e71-17ea-434f-8649-eba766be4087
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.cbbc7d55-db59-4ea3-9f3b-d3709b1bb82d
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.123c4342-552a-4db9-bb0b-a7d0bd2e5849
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.095f2aaa-351b-4848-9039-87bf67e2e97b
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.c3fb68d0-ba3d-4b94-bcb8-b2286d9b0358
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.79c12ca2-0755-4bf4-b509-8c72239536f9
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.114d5a9f-f369-4976-9eb7-1f78050c6a9b
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.b35c87c8-fb39-4ca4-aae9-0986349c5eaf
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.18ce1953-f81d-4443-8b81-c3ec6d891767
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.b89f03d9-a61b-4d4e-9636-5b28fdef4525
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.368866e6-0b82-4049-8f10-9fc2bbf43066
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.4eb11496-3275-4087-ab5c-b1e4ea885e99
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.7273399a-f5bb-43b2-865a-ba37d344c387
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.1a21a922-6490-45a3-9009-23ed648322d5
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.110ca2a5-fdf8-4e33-8890-a0fc07466561
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.3b3e2029-84c4-4472-85b4-a1f1af0885b6
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.37302e59-9824-4ec3-a8f7-6b491a5ee183
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.7a563628-d9c4-4a25-8193-207199051785
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.571e8f4f-4d98-40eb-bd55-c88b8a8ab76d
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.91d1dba5-bd31-4f0f-857a-1fae38165a6d
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.00ce9624-11e3-4015-b695-d7ff7cb3930e
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.c108ee98-5abc-43f3-9653-fc920d79e133
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.784a3266-485d-49a3-851f-44hy93df4edb
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.784a3266-485d-49a3-851f-2a2c93df4edb
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.8cf658ad-2dd1-47b3-bcbd-442411943792
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.508c9da4-56f9-4129-9a0e-766fb8e74f3e
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.c960002a-a4fd-425d-b24a-c255862e3e03
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.e1a77dc7-c7d6-41d2-9c4e-93acc1093bcf
,,,,,Product Variant,Sales Price,Percentage (discount),1,100,init.a60b7de5-d126-4b28-8efc-2a81de5165f0
